Country,TradeFlow,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Indonesia,Import,Rice,2023,Vietnam,66887131,114771000000000,Kg
Indonesia,Import,Rice,2023,Pakistan,18232247,3093100000000,Kg
Indonesia,Import,Rice,2023,Myanmar,8882287,14120400000000,Kg
Indonesia,Import,Rice,2023,India,3550498,6971580000000,Kg
Indonesia,Import,Rice,2023,Cambodia,837142,129250000000,Kg
Indonesia,Import,Rice,2023,Japan,15536,61480,Kg
Indonesia,Import,Rice,2023,China,14252,7019,Kg
Indonesia,Import,Rice,2023,Philippines,1522,5035,Kg
Indonesia,Import,Rice,2023,Malaysia,157,3138,Kg
Indonesia,Import,Rice,2023,Singapore,27,105,Kg
Indonesia,Import,Rice,2023,Italy,5,8,Kg
Indonesia,Import,Rice,2022, World,20204218,42920700000000,Kg
Indonesia,Import,Rice,2022,India,7773971,17853400000000,Kg
Indonesia,Import,Rice,2022,Thailand,4409202,8018250000000,Kg
Indonesia,Import,Rice,2022,Vietnam,4246432,818280000000,Kg
Indonesia,Import,Rice,2022,Pakistan,3584349,844070000000,Kg
Indonesia,Import,Rice,2022,Myanmar,147824,383000000,Kg
Indonesia,Import,Rice,2022,Singapore,15396,364042,Kg
Indonesia,Import,Rice,2022,Japan,15031,56087,Kg
Indonesia,Import,Rice,2022,China,12000,6000,Kg
Indonesia,Import,Rice,2022,"Korea, Rep.",5,5,Kg
Indonesia,Import,Rice,2022,United States,5,2,Kg
Indonesia,Import,Rice,2022,Italy,2,1,Kg
Indonesia,Import,Rice,2022,Australia,1,4,Kg
Indonesia,Import,Rice,2022,South Africa,1,3,Kg
Indonesia,Import,Rice,2022,Malaysia,0,8,Kg
Indonesia,Import,Rice,2021, World,18380180,40774100000000,Kg
Indonesia,Import,Rice,2021,India,8627627,21538700000000,Kg
Indonesia,Import,Rice,2021,Thailand,4132258,69360000000,Kg
Indonesia,Import,Rice,2021,Vietnam,3247451,6569290000000,Kg
Indonesia,Import,Rice,2021,Pakistan,2032209,524790000000,Kg
Indonesia,Import,Rice,2021,Myanmar,160941,379000000,Kg
Indonesia,Import,Rice,2021,China,85054,42601,Kg
Indonesia,Import,Rice,2021,Japan,57886,230291,Kg
Indonesia,Import,Rice,2021,Cambodia,26575,500000,Kg
Indonesia,Import,Rice,2021,Singapore,10047,260051,Kg
Indonesia,Import,Rice,2021,United States,101,33,Kg
Indonesia,Import,Rice,2021,Malaysia,15,13,Kg
Indonesia,Import,Rice,2021,Saudi Arabia,11,10,Kg
Indonesia,Import,Rice,2021,"Other Asia, nes",4,1,Kg
Indonesia,Import,Rice,2021,Australia,2,37,Kg
Indonesia,Import,Rice,2021,France,1,1,Kg
